Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,22.962962962962962,27
223509,Holiday Inn Express & Suites Columbus Southeast,17.625,8
101657,Extended Stay America - Columbus - Worthington,6.5,4
101647,Extended Stay America - Columbus - East,4.0,2
223749,Hampton Inn Columbus Hamilton,17.5,4
223730,TownePlace Suites Columbus Worthington,20.0,11
95241,Motel 6 Columbus,22.333333333333332,3
612540,BEST WESTERN PLUS Port Columbus,19.5,8
223753,Country Inn & Suites Columbus-West,18.0,7
101660,Econo Lodge Brice Road,11.6,5
223764,Americas Best Value Inn-Columbus/West,22.666666666666668,3
1206195,Neil Avenue Bed and Breakfast,23.5,2
1225684,La Quinta Inn East Hotel,21.0,2
95284,Red Roof Inn Columbus Ohio State University,18.157894736842106,19
240079,Motel 6 Columbus North,27.0,1
223732,InTown Suites Columbus / Dublin,8.0,2
101670,Knights Inn Columbus East,16.5,4
222972,InTown Suites Columbus North,22.0,1
95240,Howard Johnson Inn Columbus,9.88888888888889,9
240082,Motel 6 Columbus Worthington,15.25,4
90214,Rodeway Inn North,12.538461538461538,13
95236,North Suites,10.5,6
101661,Courtyard by Marriott Columbus Airport,20.307692307692307,13
223767,Americas Best Value Inn - Columbus / North,9.285714285714286,7
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
223762,Americas Best Value Inn Columbus Airport,14.666666666666666,15
1191338,Holiday Inn -Ohio State University Area,5.0,1
240078,Motel 6 Columbus East,4.0,2
101649,Columbus Inn & Suites,6.894736842105263,19
101665,Knights Inn Downtown Columbus,5.428571428571429,7
223772,Extended Stay America - Columbus - North,21.625,8
101757,Clarion Hotel & Suites Conference Center,11.285714285714286,28
95275,University Plaza Hotel and Conference Center,15.142857142857142,7
114725,German Village Inn,13.9,10
223766,Varsity Inn,15.307692307692308,13
101643,Wingate by Wyndham Columbus,18.055555555555557,18
223737,Residence Inn Columbus Worthington,13.0,12
95264,Days Inn Columbus North,12.384615384615385,26
122230,Ramada Plaza Hotel & Conference Center,21.181818181818183,11
90216,East Suites Hotel Columbus,8.6875,16
281206,Motel 6 Columbus OSU,9.333333333333334,3
95263,Ramada Inn East Airport,12.125,8
223759,Country Inn & Suites Columbus - North,15.862068965517242,29
123895,Quality Inn & Suites Columbus,1.5,2
223765,Varsity Inn OSU North,14.722222222222221,18
95285,Hawthorn Suites by Wyndham Airport Columbus East,18.0,14
101640,Hampton Inn Columbus West,19.153846153846153,13
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",12.272727272727273,11
101659,Extended Stay America - Columbus - Easton,15.0,7
101646,TownePlace Suites Columbus Airport Gahanna,20.0,12
123898,Super 8 Motel Columbus,7.545454545454546,11
124435,Comfort Suites - Columbus / Keim Circle,22.4,10
101636,Comfort Suites Airport,20.31578947368421,19
101651,Red Roof Inn & Suites Columbus - W. Broad,15.0,6
223756,Country Inn & Suites Columbus Airport,19.923076923076923,13
75212,BEST WESTERN PLUS Columbus North,14.125,40
123896,Hilton Garden Inn Columbus-University Area,25.307692307692307,13
223775,Fairfield Inn & Suites Columbus OSU,22.424242424242426,33
101641,Hampton Inn Columbus Airport,18.764705882352942,17
626349,Candlewood Suites Polaris,19.555555555555557,9
95246,Courtyard by Marriott Columbus West,26.363636363636363,11
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,19.1,20
223755,Country Inn & Suites Columbus Airport East,17.333333333333332,9
223728,Extended Stay Deluxe - Columbus - Polaris,19.333333333333332,9
1546086,Holiday Inn Express Hotel & Suites Columbus University Area - OSU,35.0,1
95242,Baymont Inn Columbus North,12.785714285714286,14
95261,Holiday Inn Columbus Downtown Capital Square,15.27027027027027,37
95235,Days Inn Columbus Fairgrounds,6.7894736842105265,19
223760,Courtyard by Marriott Columbus Downtown,18.96551724137931,29
95250,Homewood Suites by Hilton Columbus / Worthington,23.647058823529413,17
75221,Comfort Inn & Suites,20.941176470588236,17
249788,Holiday Inn Express Ohio State Fair/Expo Center,18.076923076923077,13
95230,Courtyard by Marriott Columbus Worthington,23.181818181818183,11
896855,Hyatt Place Columbus/Worthington,23.846153846153847,26
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,17.56140350877193,57
223742,Days Inn & Suites Worthington,19.166666666666668,12
95288,Sheraton Suites Columbus,19.506172839506174,81
95286,"Hawthorn Suites by Wyndham Columbus, Zumstein Dr",17.65,20
95277,Red Roof Inn Columbus West,22.5,4
75206,BEST WESTERN Suites,22.428571428571427,14
1238209,Holiday Inn Columbus-Hilliard,25.714285714285715,7
223223,Staybridge Suites Columbus Airport,19.52,25
223726,Super 8 Columbus West,8.8,5
250903,Hilton Garden Inn Columbus Airport,20.925925925925927,27
95258,Crowne Plaza Columbus North,20.266666666666666,60
101653,Fort Rapids Indoor Waterpark Resort,15.953757225433526,173
95249,Doubletree Hotel Columbus Worthington,21.96,25
95253,Hyatt Regency Columbus,16.451612903225808,62
95265,Columbus Airport Marriott,20.733333333333334,30
675842,Hampton Inn & Suites Columbus-Easton,26.548387096774192,31
95289,Ramada Columbus North,20.636363636363637,22
122237,Red Roof Inn Columbus Downtown - Convention Center,21.033333333333335,30
95247,Crowne Plaza Columbus Downtown,21.123076923076923,65
281777,Comfort Suites - Columbus / Clara St,15.76923076923077,13
95269,Comfort Inn North,11.0,22
122229,Renaissance Columbus Downtown Hotel,20.48780487804878,82
95293,The Westin Columbus,21.388059701492537,67
223735,Residence Inn Columbus Easton,21.692307692307693,13
223724,Comfort Inn North Polaris,24.85,20
278081,Courtyard Columbus Easton,21.857142857142858,21
223771,La Quinta Inn & Suites Columbus West - Hilliard,5.0,3
223747,Homewood Suites by Hilton Columbus Airport,18.75,16
268516,Baymont Inn and Suites Columbus at Rickenbacker,22.6,5
1479195,Four Points by Sheraton Columbus Ohio Airport,27.1875,16
223739,Worthington Red Roof Inn,18.5,2
518306,Hilton Garden Inn Columbus/Polaris,22.32,25
95238,Embassy Suites Hotel Columbus,22.29032258064516,31
223748,Hilton Columbus at Easton,21.543478260869566,46
258165,Drury Inn & Suites Columbus Convention Center,19.870967741935484,31
1200977,Cambria Suites,30.047619047619047,21
878115,Hampton Inn & Suites Columbus Polaris,28.96551724137931,29
819653,Residence Inn Columbus Downtown,25.05,20
1157336,Hilton Columbus/Polaris,25.61904761904762,21
1588429,Comfort Suites East Broad at 270,27.0,1
1415082,Embassy Suites Columbus - Airport,32.25,12
223750,Hampton Inn and Suites Columbus Downtown,22.53125,32
