Hotel ID,Hotel Name,Total Rating,Overall Customers
88401,Fairfield Inn Jacksonville Airport,15.6,5
120174,Hilton Garden Inn Jacksonville JTB / Deerwood Park,17.5,6
120161,Red Roof Inn Jacksonville - Orange Park,6.5,2
120159,Red Roof Inn - Southpoint,15.333333333333334,3
261234,Wingate by Wyndham Jacksonville Airport,14.555555555555555,9
1165021,Holiday Inn Express & Suites Jacksonville - Blount Island,10.5,4
84653,Super 8 Jacksonville South,16.0,1
88425,Extended Stay Deluxe - Jacksonville - Butler Blvd.,1.0,1
84650,Quality Inn Conference Center,9.333333333333334,6
120158,Regency Inn Jacksonville,3.0,2
88468,Candlewood Suites - Jacksonville,22.0,1
564631,Country Hearth Inn Jacksonville Airport,3.0,1
120106,Motel 6 Jacksonville Airport,9.333333333333334,3
120157,Scottish Inn,3.2,5
88429,Stars Rest Inn,4.3,10
84659,EconoLodge,5.0,1
88416,Hampton Inn Jacksonville - I-95 South,10.8,5
84664,Studio 6 Jacksonville - Baymeadows,10.75,4
88405,Baymeadows Inn & Suites,1.0,1
120128,Super 8 Jacksonville/Orange Park,11.5,2
120170,La Quinta Inn Jacksonville Baymeadows,9.5,2
84635,Quality Inn & Suites Baymeadows,7.625,8
84660,Red Carpet Inn,2.6,5
84617,America's Best Inn Jacksonville,3.0,2
88436,Homestead Studio Suites - Jacksonville - Salisbury Rd. - Southpoint,19.0,3
120167,Motel 6 Jacksonville Southeast,13.5,2
120131,Kings Inn,1.0,1
120141,The Beach Landing Motel,5.0,1
88444,Diamond Inn Motel Jacksonville West,1.0,2
226993,Homestead Studio Suites - Jacksonville - Baymeadows,9.0,3
294735,Knights Inn Jacksonville,1.0,1
84637,Jaxport Inn,2.0,2
239840,Suburban Extended Stay Hotel of Jacksonville / Baymeadows,4.333333333333333,3
1164991,Homestead Studio Suites - Jacksonville - Southside - St. Johns Towne Center,10.25,4
84656,BEST WESTERN Hotel JTB / Southpoint,4.555555555555555,9
120109,Microtel Inn & Suites by Wyndham Jacksonville/Near Butler Blvd,10.2,5
88451,Howard Johnson Inn and Suites Jacksonville,1.0,1
88423,Extended Stay Deluxe - Jacksonville - Deerwood Park,2.0,1
120124,The Inn at Mayo Clinic,5.333333333333333,6
88440,La Quinta Inn Jacksonville Orange Park,15.0,3
88456,Holiday Inn Jacksonville - I-95 & Baymeadows,7.5,4
88403,Jacksonville Airport Hotel,12.952380952380953,21
224590,Hilton Garden Inn Jacksonville Airport,16.666666666666668,6
120160,Red Roof Inn - Jacksonville Airport,9.333333333333334,3
553883,Homewood Suites by Hilton Jacksonville-South/St. Johns Ctr.,26.333333333333332,3
120153,SpringHill Suites Jacksonville / Deerwood,12.0,9
247710,Wingate by Wyndham Jacksonville / Mayo Clinic Area,17.285714285714285,7
88400,BEST WESTERN Jacksonville Airport,14.666666666666666,6
88406,Residence Inn Jacksonville Butler Boulevard,19.333333333333332,3
120117,Residence Inn Jacksonville Airport,13.5,2
252242,Hospitality Inn,3.6666666666666665,3
88402,Courtyard by Marriott Jacksonville Airport/Northeast,13.5,2
120135,Jameson Inn,10.0,6
120147,Quality Inn Airport,3.5,4
84636,Courtyard Jacksonville Mayo Clinic/Beaches,13.666666666666666,6
88395,La Quinta Inn Jacksonville Airport North,11.166666666666666,6
84647,Embassy Suites Hotel Jacksonville - Baymeadows,12.5,16
84661,Residence Inn Jacksonville Baymeadows,12.0,3
88410,Homewood Suites by Hilton Jacksonville,11.083333333333334,12
84642,Radisson Jacksonville Butler Boulevard,20.857142857142858,14
120138,Comfort Suites Airport,13.333333333333334,9
88417,Hampton Inn Jacksonville-Downtown-I-95,16.5,6
88408,Ramada Conference Center Mandarin,13.0,4
120186,La Quinta Inn & Suites Jacksonville Mandarin,17.857142857142858,7
610906,Hampton Inn & Suites Jacksonville-Airport,29.0,1
88442,La Quinta Inn & Suites Jacksonville Butler Blvd,8.166666666666666,12
223246,Holiday Inn Express Jacksonville,25.0,1
84654,Jacksonville Marriott,11.75,4
84655,Omni Jacksonville Hotel,12.166666666666666,42
120177,"Country Inn & Suites By Carlson, Jacksonville",17.714285714285715,7
472259,Hampton Inn & Suites Jacksonville-Southside Blvd-Deerwood Pk,25.181818181818183,11
88460,Crowne Plaza Jacksonville Riverfront Hotel,12.35,20
1223992,Wingate by Wyndam Jacksonville South,9.214285714285714,14
88458,Holiday Inn Express Hotel & Suites Jacksonville South,12.0,7
84658,Wyndham Jacksonville Riverwalk,16.8,5
120123,Hyatt Regency Jacksonville Riverfront,12.40625,32
