Hotel ID,Hotel Name,Total Rating,Overall Customers
83095,Rockies Inn,11.0,1
83044,Howard Johnson Inn Denver,3.5,2
85353,Drury Inn Denver East,15.222222222222221,9
82992,Days Inn Central,4.6,5
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
82976,Super 8 Denver Stapleton,16.333333333333332,3
223852,TownePlace Suites Denver Downtown,12.0,2
85375,Comfort Inn Denver International Airport,7.166666666666667,6
543093,Courtyard by Marriott Denver Cherry Creek,10.375,8
119981,Homestead Studio Suites - Denver - Tech Center - North,1.0,1
85638,Denver Stapleton Hotel,3.25,4
114326,Loews Denver Hotel,9.0,14
83091,The Burnsley All Suite Hotel,11.65,20
85343,Denver's Best Inn and Suites,15.0,2
119975,Jet Hotel,10.142857142857142,7
85330,Comfort Inn & Suites,14.0,1
119928,Ramada Denver Midtown,11.0,1
111562,Renaissance Denver Hotel,10.285714285714286,14
85346,La Quinta Inn Denver Cherry Creek,15.0,2
120036,Notel Motel,5.6,5
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,8.333333333333334,12
83060,Four Points by Sheraton Denver Southeast,16.928571428571427,14
82982,Comfort Inn Downtown,9.0625,16
85366,Quality Inn Denver,1.5,2
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,6.0,5
83023,Fairfield Inn Denver Cherry Creek,10.5,6
85359,Comfort Suites Denver International Airport,10.5,2
85357,Days Inn & Suites DIA-Denver International Airport,15.333333333333334,3
225090,Microtel Inn by Wyndham Denver,17.0,1
83014,Embassy Suites Denver - Southeast,10.875,8
82960,Holiday Inn Select Denver - Cherry Creek,6.55,20
81023,The Timbers Hotel,14.125,8
120072,Hampton Inn Denver - International Airport,12.0,1
120083,Denver Marriott Tech Center,9.285714285714286,7
270508,Hotel VQ,5.684210526315789,19
85325,Ramada Inn Downtown Denver,9.666666666666666,12
225093,Red Lion Hotel Denver Central,10.142857142857142,7
83057,Denver Marriott City Center,7.444444444444445,9
530656,Inn at Cherry Creek,19.6,5
1190033,Hilton Garden Inn Denver Tech Center,10.466666666666667,15
125845,Embassy Suites Hotel Denver - Aurora,6.333333333333333,6
120029,Residence Inn Denver Downtown,14.0,20
83081,Quality Inn & Suites Denver International Airport,10.0,1
83038,Ramada Plaza Denver Central Hotel,6.25,4
85372,Courtyard by Marriott Denver Airport,7.0,4
1751673,Super 8 Denver - Airport,6.75,4
85332,Doubletree by Hilton Hotel Denver,13.0,8
83051,Hyatt Regency Denver Tech Center,12.0,16
85352,Hampton Inn & Suites Denver Tech Center,16.333333333333332,3
258669,Embassy Suites Denver-International Airport,12.375,8
119992,Fairfield Inn Denver Airport,15.8,5
578192,Hampton Inn & Suites Denver Downtown,24.0,3
83099,The Westin Denver Downtown,10.694444444444445,36
83046,Grand Hyatt Denver Downtown,12.208333333333334,24
85368,La Quinta Inn & Suites Denver Airport DIA,11.333333333333334,3
83093,The Oxford Hotel,12.304347826086957,23
119993,Courtyard by Marriott Denver Downtown,15.25,8
83097,Warwick Denver Hotel,8.482758620689655,29
120056,Hotel Monaco Denver - a Kimpton Hotel,10.292682926829269,41
83088,The Brown Palace Hotel and Spa,10.61111111111111,18
573340,Hyatt Regency Denver At Colorado Convention Center,16.75,4
308759,JW Marriott Denver Cherry Creek,15.533333333333333,15
120058,Hotel Teatro,9.8125,32
530585,"Country Inn & Suites By Carlson, Denver International Airport",21.5,2
83040,Magnolia Hotel Denver,11.68,25
