Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,5.0,2
111422,DoubleTree Suites by Hilton - Boston,4.333333333333333,3
217550,DoubleTree by Hilton Hotel Boston - Downtown,1.0,1
217000,Days Hotel Boston,5.0,1
222958,Comfort Inn - Boston,8.0,2
217148,Ramada Inn Boston,5.0,1
94368,DoubleTree Club by Hilton Hotel Boston Bayside,3.5,2
89592,Milner Hotel,1.0,1
94326,Hilton Boston Downtown / Financial District,4.0,4
126058,Constitution Inn,4.0,1
77638,The Inn at Longwood Medical,5.0,1
89619,Courtyard Boston Downtown / Tremont,18.0,1
94350,The Midtown Hotel,3.0,1
89568,Chandler Inn,2.5,4
111423,Eliot Hotel,4.5,2
111428,Hilton Boston Back Bay,12.0,2
120988,Hilton Boston Logan Airport,5.0,1
222955,Ritz-Carlton Boston Common,5.0,3
94399,Club Quarters Boston,2.0,1
114150,Millennium Bostonian Hotel,3.0,4
111417,Boston Marriott Long Wharf,4.666666666666667,3
114149,"The Langham, Boston",3.0,2
89617,The Westin Copley Place,5.0,2
94367,Harborside Inn,3.75,4
111444,"The Fairmont Copley Plaza, Boston",3.5,2
94330,Seaport Boston Hotel,4.5,6
94337,XV Beacon,4.5,2
89585,Four Seasons Hotel Boston,5.0,1
89575,Boston Harbor Hotel,5.0,1
94371,Colonnade Hotel,2.5,4
111418,The Boston Park Plaza Hotel & Towers,2.1904761904761907,21
89599,Omni Parker House,5.909090909090909,11
114134,The Lenox Hotel,2.5,2
